siec,nrg_Description,Country_code,Country,Year,Description,Unit,Value
O4000XBIO,Oil and petroleum products (excluding biofuel portion),AL,Albania,2011 ,Oil and petroleum products,GWH,59.0
O4000XBIO,Oil and petroleum products (excluding biofuel portion),AL,Albania,2010 ,Oil and petroleum products,GWH,1.0
O4000XBIO,Oil and petroleum products (excluding biofuel portion),AL,Albania,2009 ,Oil and petroleum products,GWH,1.0
O4000XBIO,Oil and petroleum products (excluding biofuel portion),AL,Albania,2007 ,Oil and petroleum products,GWH,72.0
O4000XBIO,Oil and petroleum products (excluding biofuel portion),AL,Albania,2006 ,Oil and petroleum products,GWH,93.0
O4000XBIO,Oil and petroleum products (excluding biofuel portion),AL,Albania,2005 ,Oil and petroleum products,GWH,70.0
O4000XBIO,Oil and petroleum products (excluding biofuel portion),AL,Albania,2004 ,Oil and petroleum products,GWH,140.0
O4000XBIO,Oil and petroleum products (excluding biofuel portion),AL,Albania,2003 ,Oil and petroleum products,GWH,107.0
O4000XBIO,Oil and petroleum products (excluding biofuel portion),AL,Albania,2002 ,Oil and petroleum products,GWH,226.0
O4000XBIO,Oil and petroleum products (excluding biofuel portion),AL,Albania,2001 ,Oil and petroleum products,GWH,175.0
O4000XBIO,Oil and petroleum products (excluding biofuel portion),AL,Albania,2000 ,Oil and petroleum products,GWH,184.0
O4000XBIO,Oil and petroleum products (excluding biofuel portion),AL,Albania,1999 ,Oil and petroleum products,GWH,145.0
O4000XBIO,Oil and petroleum products (excluding biofuel portion),AL,Albania,1998 ,Oil and petroleum products,GWH,188.0
O4000XBIO,Oil and petroleum products (excluding biofuel portion),AL,Albania,1997 ,Oil and petroleum products,GWH,200.0
O4000XBIO,Oil and petroleum products (excluding biofuel portion),AL,Albania,1996 ,Oil and petroleum products,GWH,256.0
O4000XBIO,Oil and petroleum products (excluding biofuel portion),AL,Albania,1995 ,Oil and petroleum products,GWH,269.0
O4000XBIO,Oil and petroleum products (excluding biofuel portion),AL,Albania,1994 ,Oil and petroleum products,GWH,170.0
O4000XBIO,Oil and petroleum products (excluding biofuel portion),AL,Albania,1993 ,Oil and petroleum products,GWH,215.0
O4000XBIO,Oil and petroleum products (excluding biofuel portion),AL,Albania,1992 ,Oil and petroleum products,GWH,168.0
O4000XBIO,Oil and petroleum products (excluding biofuel portion),AL,Albania,1991 ,Oil and petroleum products,GWH,300.0
O4000XBIO,Oil and petroleum products (excluding biofuel portion),AL,Albania,1990 ,Oil and petroleum products,GWH,448.0
RA100,Hydro,AL,Albania,2018 ,Hydro,GWH,8552.152
RA100,Hydro,AL,Albania,2017 ,Hydro,GWH,4524.979
RA100,Hydro,AL,Albania,2016 ,Hydro,GWH,7781.701999999999
RA100,Hydro,AL,Albania,2015 ,Hydro,GWH,5895.0
RA100,Hydro,AL,Albania,2014 ,Hydro,GWH,4724.441
RA100,Hydro,AL,Albania,2013 ,Hydro,GWH,6959.0
RA100,Hydro,AL,Albania,2012 ,Hydro,GWH,4725.0
RA100,Hydro,AL,Albania,2011 ,Hydro,GWH,4132.0
RA100,Hydro,AL,Albania,2010 ,Hydro,GWH,7567.0
RA100,Hydro,AL,Albania,2009 ,Hydro,GWH,5201.0
RA100,Hydro,AL,Albania,2008 ,Hydro,GWH,3797.0
RA100,Hydro,AL,Albania,2007 ,Hydro,GWH,2788.0
